State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
JHARKHAND,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
KARNATAKA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
KERALA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,1,2,0,0,3
MADHYA PRADESH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
MAHARASHTRA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
MANIPUR,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
MEGHALAYA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
MIZORAM,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
NAGALAND,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
ORISSA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
PUNJAB,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
RAJASTHAN,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
SIKKIM,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
TAMIL NADU,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
TRIPURA,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
UTTAR PRADESH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
UTTARAKHAND,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
WEST BENGAL,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
TOT (STATES),FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,1,2,0,0,3
A & N ISLANDS,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
CHANDIGARH,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
D & N HAVELI,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
DAMAN & DIU,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
DELHI,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
